id,x,y
1,-131.68167734441144,131.68167734441138
2,-124.68511891759317,51.6462672817693
3,-108.33035524351197,-44.871902358557946
4,42.25450016994558,0
5,49.1781122967089,118.7264656786217
6,-37.346286147410396,90.16191052134471
7,12.761346832843234,-30.808616597997073
8,4.707043806426728e-15,-76.8718590487307
9,73.57099561684544,-177.61609541547975
10,2.221771391605844e-14,-362.84280384397
11,-130.79123869321234,-315.7579822927304
12,-86.98706983684231,-210.00536375120058
13,-50.62404310504939,-122.21725144637058
14,335.9236323150811,0
15,233.86016009458638,-233.86016009458635
16,200.78991294270418,-200.78991294270415
17,68.8919448551579,-166.31986760758153
18,76.60410820779381,0
19,-26.42814033157892,26.428140331578913
20,-245.38328803096954,245.38328803096945
21,-85.74349140349476,207.0030998315381
